date,industry,window,secid,ret,industry_ret,excess_ret,industry_rank_pct,group,FREE_MV,S_DQ_AMOUNT
2026-06-23,软件开发,3,688318.SH,0.13257801601039088,0.021292938711304096,0.11128507729908678,0.9612403100775194,top,948391.567374,1122986.553
2026-06-23,软件开发,3,300730.SZ,0.12399994635897071,0.021292938711304096,0.10270700764766662,0.9534883720930233,top,215014.72840000002,195162.226
2026-06-23,软件开发,3,300377.SZ,0.10229584883992349,0.021292938711304096,0.08100291012861939,0.9457364341085271,top,1020574.63228,2687344.268
2026-06-23,软件开发,3,300380.SZ,0.09035207733239758,0.021292938711304096,0.06905913862109349,0.937984496124031,top,263006.89895999996,316475.599
2026-06-23,软件开发,3,920592.BJ,0.0892457912190201,0.021292938711304096,0.067952852507716,0.9302325581395349,top,88819.092852,174816.435
2026-06-23,软件开发,3,688168.SH,0.07569052623191297,0.021292938711304096,0.05439758752060887,0.9224806201550387,top,484835.925605,256310.334
2026-06-23,软件开发,3,601519.SH,0.07161410496682574,0.021292938711304096,0.050321166255521646,0.9147286821705426,top,950735.6709700001,1079424.663
2026-06-23,软件开发,3,300608.SZ,0.06731360996723135,0.021292938711304096,0.04602067125592725,0.9069767441860465,top,261027.316425,419904.151
2026-06-23,软件开发,3,300579.SZ,0.0659289670136074,0.021292938711304096,0.0446360283023033,0.8992248062015504,top,291950.927494,199820.338
2026-06-23,软件开发,3,603232.SH,0.06570606359360909,0.021292938711304096,0.04441312488230499,0.8914728682170543,top,282418.498404,307390.221
2026-06-23,软件开发,3,300520.SZ,0.061847664082306686,0.021292938711304096,0.04055472537100259,0.8837209302325582,top,684417.803368,752371.01
2026-06-23,软件开发,3,300624.SZ,0.06008359484574122,0.021292938711304096,0.03879065613443712,0.875968992248062,top,774522.0116340001,556332.886
2026-06-23,软件开发,3,300209.SZ,0.05917267076174593,0.021292938711304096,0.03787973205044183,0.8682170542635659,top,2045258.731102,2147721.178
2026-06-23,软件开发,3,300803.SZ,0.057715007501198734,0.021292938711304096,0.03642206878989464,0.8604651162790697,top,3907685.3438,4782733.062
2026-06-23,软件开发,3,688657.SH,0.055743667597528024,0.021292938711304096,0.03445072888622393,0.8527131782945736,top,193466.748683,159603.258
2026-06-23,软件开发,3,688109.SH,0.0525099452719644,0.021292938711304096,0.0312170065606603,0.8449612403100775,top,336907.18227600004,99401.25
2026-06-23,软件开发,3,603383.SH,0.05162657217767119,0.021292938711304096,0.030333633466367096,0.8372093023255814,top,364241.519382,167603.6
2026-06-23,软件开发,3,301315.SZ,0.04849726120608899,0.021292938711304096,0.027204322494784897,0.8294573643410853,top,157879.0,133166.737
2026-06-23,软件开发,3,002439.SZ,0.0444517625708345,0.021292938711304096,0.0231588238595304,0.8217054263565892,top,898584.27151,741022.218
2026-06-23,软件开发,3,300996.SZ,0.04413779082571123,0.021292938711304096,0.022844852114407135,0.813953488372093,top,298025.807424,88376.351
2026-06-23,软件开发,3,300663.SZ,0.037944931564123596,0.021292938711304096,0.0166519928528195,0.8062015503875969,top,328802.1676,173953.573
2026-06-23,通信服务,3,603206.SH,-0.018942070529074595,-0.007897808944497396,-0.011044261584577199,0.17647058823529413,bottom,171274.718664,208387.125
2026-06-23,通信服务,3,600941.SH,-0.02681359549710205,-0.007897808944497396,-0.018915786552604653,0.14705882352941177,bottom,7788348.648084,877680.885
2026-06-23,通信服务,3,601728.SH,-0.040534183322412876,-0.007897808944497396,-0.03263637437791548,0.11764705882352941,bottom,7983674.540832,1130168.485
2026-06-23,通信服务,3,002115.SZ,-0.04955381445472895,-0.007897808944497396,-0.041656005510231554,0.08823529411764706,bottom,763580.440194,391919.836
2026-06-23,通信服务,3,300050.SZ,-0.058181955382735406,-0.007897808944497396,-0.05028414643823801,0.058823529411764705,bottom,292149.171699,102599.462
2026-06-23,通信服务,3,002544.SZ,-0.06316799393870465,-0.007897808944497396,-0.05527018499420725,0.029411764705882353,bottom,821104.2778230001,254811.164
2026-06-23,通信服务,3,300560.SZ,0.16428519430785604,-0.007897808944497396,0.17218300325235344,1.0,top,298312.872,426753.558
2026-06-23,通信服务,3,000839.SZ,0.08152660763420805,-0.007897808944497396,0.08942441657870545,0.9705882352941176,top,700065.979967,246650.89
2026-06-23,通信服务,3,000889.SZ,0.07645355571544243,-0.007897808944497396,0.08435136465993984,0.9411764705882353,top,253638.732432,361237.132
2026-06-23,通信服务,3,300738.SZ,0.05804336964991563,-0.007897808944497396,0.06594117859441304,0.9117647058823529,top,1517168.393216,1622110.153
2026-06-23,通信服务,3,300571.SZ,0.05775533400372712,-0.007897808944497396,0.06565314294822452,0.8823529411764706,top,419493.479275,1003598.106
2026-06-23,通信服务,3,300603.SZ,0.047822523145641505,-0.007897808944497396,0.0557203320901389,0.8529411764705882,top,303961.7096659999,126046.015
2026-06-23,通信服务,3,301428.SZ,0.04655572163171895,-0.007897808944497396,0.054453530576216345,0.8235294117647058,top,245345.54105499998,552608.373
2026-06-23,通信设备,3,920249.BJ,-0.04004984632028519,0.02741259433209516,-0.06746244065238034,0.19047619047619047,bottom,108455.57195600001,54456.601
2026-06-23,通信设备,3,603118.SH,-0.042167995067794894,0.02741259433209516,-0.06958058939989005,0.17857142857142858,bottom,585819.759375,368026.573
2026-06-23,通信设备,3,688205.SH,-0.04323669792134943,0.02741259433209516,-0.07064929225344459,0.16666666666666666,bottom,2415368.4392,2129006.934
2026-06-23,通信设备,3,688283.SH,-0.045416915546294234,0.02741259433209516,-0.07282950987838939,0.15476190476190477,bottom,209263.73523,47541.91
2026-06-23,通信设备,3,600776.SH,-0.05364268294931662,0.02741259433209516,-0.08105527728141178,0.14285714285714285,bottom,610652.153856,352057.865
2026-06-23,通信设备,3,300710.SZ,-0.053960271849610386,0.02741259433209516,-0.08137286618170554,0.13095238095238096,bottom,245037.024505,137794.651
2026-06-23,通信设备,3,300565.SZ,-0.0546946582110408,0.02741259433209516,-0.08210725254313596,0.11904761904761904,bottom,259499.382144,133406.363
2026-06-23,通信设备,3,300394.SZ,-0.05707446795463156,0.02741259433209516,-0.08448706228672671,0.10714285714285714,bottom,18774078.838034,14429776.922
2026-06-23,通信设备,3,002792.SZ,-0.058554663233792326,0.02741259433209516,-0.08596725756588748,0.09523809523809523,bottom,968355.6748780002,731239.269
2026-06-23,通信设备,3,002881.SZ,-0.05942342047080018,0.02741259433209516,-0.08683601480289534,0.08333333333333333,bottom,510100.70160000003,365485.574
2026-06-23,通信设备,3,300627.SZ,-0.06037212844304474,0.02741259433209516,-0.08778472277513989,0.07142857142857142,bottom,1368355.096848,300627.512
2026-06-23,通信设备,3,600775.SH,-0.06763140274214319,0.02741259433209516,-0.09504399707423834,0.05952380952380952,bottom,451789.11174599995,158513.881
2026-06-23,通信设备,3,002796.SZ,-0.06818893214106847,0.02741259433209516,-0.09560152647316363,0.047619047619047616,bottom,622890.247342,405680.037
2026-06-23,通信设备,3,002902.SZ,-0.07746187777141378,0.02741259433209516,-0.10487447210350893,0.03571428571428571,bottom,473351.44033400004,981000.684
2026-06-23,通信设备,3,603236.SH,-0.11921379726990011,0.02741259433209516,-0.14662639160199528,0.023809523809523808,bottom,1365019.986032,629567.797
2026-06-23,通信设备,3,301307.SZ,-0.1685604672519938,0.02741259433209516,-0.19597306158408898,0.011904761904761904,bottom,618513.11718,442480.173
2026-06-23,通信设备,3,601869.SH,0.21434053164604894,0.02741259433209516,0.18692793731395377,1.0,top,6143635.133580001,12928875.317
2026-06-23,通信设备,3,000070.SZ,0.19387125207322686,0.02741259433209516,0.1664586577411317,0.9880952380952381,top,1306923.936384,3424210.714
2026-06-23,通信设备,3,600345.SH,0.18732033124479486,0.02741259433209516,0.1599077369126997,0.9761904761904762,top,1006160.3286,1990159.533
2026-06-23,通信设备,3,688313.SH,0.16524644758766005,0.02741259433209516,0.13783385325556488,0.9642857142857143,top,5775730.949142,7739616.676
2026-06-23,通信设备,3,002491.SZ,0.15965869524115384,0.02741259433209516,0.13224610090905867,0.9523809523809523,top,2610034.654776,5918668.904
2026-06-23,通信设备,3,603083.SH,0.15919055731366605,0.02741259433209516,0.13177796298157088,0.9404761904761905,top,5805802.6020060005,8760712.523
2026-06-23,通信设备,3,003031.SZ,0.1566612978496158,0.02741259433209516,0.12924870351752063,0.9285714285714286,top,2886520.7051999997,5097908.703
2026-06-23,通信设备,3,600522.SH,0.11707455511502296,0.02741259433209516,0.0896619607829278,0.9166666666666666,top,16289508.510037001,19967570.899
2026-06-23,通信设备,3,002281.SZ,0.09793633025379211,0.02741259433209516,0.07052373592169696,0.9047619047619048,top,12584883.799779998,11756854.368
2026-06-23,通信设备,3,600498.SH,0.07618309607972851,0.02741259433209516,0.04877050174763335,0.8928571428571429,top,6434008.741625,11425398.28
2026-06-23,通信设备,3,603042.SH,0.06786050945139754,0.02741259433209516,0.04044791511930239,0.8809523809523809,top,269966.854935,396508.624
2026-06-23,通信设备,3,688182.SH,0.06648832564129581,0.02741259433209516,0.039075731309200654,0.8690476190476191,top,561798.28645,433158.262
2026-06-23,通信设备,3,300615.SZ,0.06372725609916108,0.02741259433209516,0.03631466176706592,0.8571428571428571,top,114851.43955000001,102785.011
2026-06-23,通信设备,3,300548.SZ,0.058084322685564516,0.02741259433209516,0.030671728353469357,0.8452380952380952,top,6343250.623541999,6781116.341
2026-06-23,通信设备,3,300689.SZ,0.05691872285579169,0.02741259433209516,0.029506128523696534,0.8333333333333334,top,311933.83738,286679.528
2026-06-23,通信设备,3,600487.SH,0.055289802205294336,0.02741259433209516,0.027877207873199177,0.8214285714285714,top,20601057.726813998,21913201.658
2026-06-23,通信设备,3,300504.SZ,0.045761336678763254,0.02741259433209516,0.018348742346668095,0.8095238095238095,top,229775.27077,271391.352
2026-06-23,通用设备,3,300838.SZ,-0.04250030067875077,0.011820855384676983,-0.05432115606342775,0.2,bottom,108594.73312500001,65030.388
2026-06-23,通用设备,3,603400.SH,-0.04355067711154348,0.011820855384676983,-0.05537153249622046,0.19574468085106383,bottom,163548.0,105358.762
2026-06-23,通用设备,3,002552.SZ,-0.04362062247589016,0.011820855384676983,-0.05544147786056714,0.19148936170212766,bottom,925001.806564,1333795.912
2026-06-23,通用设备,3,301107.SZ,-0.0439044870769405,0.011820855384676983,-0.055725342461617484,0.18723404255319148,bottom,97553.742496,171804.601
2026-06-23,通用设备,3,603699.SH,-0.04455730646704481,0.011820855384676983,-0.05637816185172179,0.1829787234042553,bottom,1497446.512065,259707.519
2026-06-23,通用设备,3,002903.SZ,-0.04468196024344362,0.011820855384676983,-0.0565028156281206,0.17872340425531916,bottom,464103.153035,344983.894
2026-06-23,通用设备,3,688360.SH,-0.04480197927099461,0.011820855384676983,-0.05662283465567159,0.17446808510638298,bottom,306841.621422,155034.61
2026-06-23,通用设备,3,300718.SZ,-0.045106587837746126,0.011820855384676983,-0.05692744322242311,0.1702127659574468,bottom,824757.870168,417286.276
2026-06-23,通用设备,3,301028.SZ,-0.045189272617868426,0.011820855384676983,-0.05701012800254541,0.16595744680851063,bottom,192972.806543,92718.392
2026-06-23,通用设备,3,600860.SH,-0.046101474245503926,0.011820855384676983,-0.05792232963018091,0.16170212765957448,bottom,172327.68458399997,72764.989
2026-06-23,通用设备,3,002843.SZ,-0.04621894683839889,0.011820855384676983,-0.05803980222307587,0.1574468085106383,bottom,328500.97746200004,267254.459
2026-06-23,通用设备,3,603667.SH,-0.04630528050984317,0.011820855384676983,-0.058126135894520155,0.15319148936170213,bottom,1480349.871207,1295722.605
2026-06-23,通用设备,3,603278.SH,-0.046406372814155716,0.011820855384676983,-0.0582272281988327,0.14893617021276595,bottom,203745.2976,270925.801
2026-06-23,通用设备,3,300818.SZ,-0.04707288952993771,0.011820855384676983,-0.058893744914614694,0.14468085106382977,bottom,249245.056509,80680.181
2026-06-23,通用设备,3,003025.SZ,-0.048127733022989894,0.011820855384676983,-0.059948588407666877,0.14042553191489363,bottom,213489.72141,177081.872
