n_stock,industry_ret,top_mean_excess,bottom_mean_excess,k_spread,k_score,dispersion_std,iqr_excess,positive_ratio,negative_ratio,date,industry,window,k_zscore,k_pct
34,-0.007897808944497396,0.08396099552857021,-0.034967793242962356,0.11892878877153257,0.11892878877153257,0.044021023655193184,0.0488016735582496,0.7058823529411765,0.29411764705882354,2026-06-23,通信服务,3,0.6845077100263227,0.7707509881422925
20,-0.027082017951306967,0.0720070722338227,-0.026574419504626218,0.09858149173844892,0.09858149173844892,0.04218962668343407,0.022625479144692928,0.7,0.3,2026-06-23,水泥,3,0.6005733022737034,0.766798418972332
11,-0.019627312712822937,0.04487778082577304,-0.04922416064307754,0.09410194146885058,0.09410194146885058,0.03534485846985492,0.0470468959566086,0.6363636363636364,0.36363636363636365,2026-06-23,教育,3,0.5522872651696433,0.766798418972332
14,-0.016210011760966894,0.0819656732217102,-0.017959105532414227,0.09992477875412442,0.09992477875412442,0.03782187681621504,0.020622416435687966,0.9285714285714286,0.07142857142857142,2026-06-23,综合Ⅱ,3,0.528747692792928,0.758893280632411
25,0.018509771146357393,0.05469281531776912,-0.04943624893451648,0.1041290642522856,0.1041290642522856,0.041465767782771834,0.04418064928677001,0.44,0.56,2026-06-23,游戏Ⅱ,3,0.5488266095342884,0.7549407114624506
75,-0.011371187884462487,0.08035271166092346,-0.05637488755913277,0.13672759922005623,0.13672759922005623,0.054553572250406454,0.04449457953050162,0.5466666666666666,0.4533333333333333,2026-06-23,塑料,3,0.6930322409679719,0.7509881422924901
10,-0.007229254081685374,0.012541744341287384,-0.017768099497771608,0.030309843839058992,0.030309843839058992,0.012608694161126812,0.007550715647316686,0.7,0.3,2026-06-23,农商行Ⅱ,3,0.4502303484423033,0.7470355731225297
33,-0.008854767221475027,0.04067094678705141,-0.028258770859659024,0.06892971764671044,0.06892971764671044,0.025150019871741716,0.03492663214106351,0.696969696969697,0.30303030303030304,2026-06-23,铁路公路,3,0.5756667203642719,0.7430830039525692
35,0.024689064733851022,0.019564549384101182,-0.06297968921356899,0.08254423859767017,0.08254423859767017,0.03670703075038012,0.022093783395119578,0.11428571428571428,0.8857142857142857,2026-06-23,航运港口,3,0.5187904611624741,0.7391304347826086
11,-0.019404511150702068,0.049562400637670284,-0.03365033659682649,0.08321273723449676,0.08321273723449676,0.03234201203766089,0.0343355443464749,0.7272727272727273,0.2727272727272727,2026-06-23,汽车服务,3,0.4167023443581337,0.7193675889328063
25,-0.019284407414048445,0.0462250554454531,-0.05697881479760096,0.10320387024305405,0.10320387024305405,0.03722230889140494,0.03529825088438754,0.64,0.36,2026-06-23,化学纤维,3,0.47970119505302544,0.7154150197628458
27,-0.00982308755334313,0.04715620096577641,-0.030253905864645898,0.0774101068304223,0.0774101068304223,0.028602761220641367,0.019458777342074685,0.7777777777777778,0.2222222222222222,2026-06-23,饮料乳品,3,0.3633766137599176,0.6877470355731226
35,-0.03115648802261222,0.0874858964439888,-0.019126786021259227,0.10661268246524802,0.10661268246524802,0.043528276895250746,0.05834481152931592,0.6571428571428571,0.34285714285714286,2026-06-23,工程机械,3,0.046054642710380275,0.6837944664031621
10,-0.024434285657679924,0.03922280148027222,-0.040183659472504116,0.07940646095277634,0.07940646095277634,0.033045292409867616,0.02231883944168145,0.6,0.4,2026-06-23,黑色家电,3,-0.11760025748781493,0.6739130434782609
26,-0.005324199757929282,0.06508607481416834,-0.036454658236453594,0.10154073305062193,0.10154073305062193,0.04393851998884761,0.03779644920177305,0.5384615384615384,0.46153846153846156,2026-06-23,广告营销,3,0.31103272481803756,0.6719367588932806
46,0.017444260408546963,0.03303224635426609,-0.06629010503436344,0.09932235138862953,0.09932235138862953,0.03854163553887823,0.036208323099766626,0.1956521739130435,0.8043478260869565,2026-06-23,工程咨询服务Ⅱ,3,0.24310802169995666,0.6640316205533597
